color_code,MIN_zika,MAX_zika,RANGE_zika,MEAN_zika,MEDIAN_zika,PCT90_zika,MIN_dengue2015,MAX_dengue2015,RANGE_dengue2015,MEAN_dengue2015,MEDIAN_dengue2015,PCT90_dengue2015,MIN_dengue2050,MAX_dengue2050,RANGE_dengue2050,MEAN_dengue2050,MEDIAN_dengue2050,PCT90_dengue2050
XXZ,0,0.985387444,0.985387444,0.010620894,0,0,0,0.882358193,0.882358193,0.045270995,0,0.052604293,0,0.8753183,0.8753183,0.049158897,0,0.067563691
COD,0,0.990992308,0.990992308,0.752792425,0.814359426,0.901600116,0,0.97238332,0.97238332,0.609997468,0.642331243,0.817023051,0,0.970457162,0.970457162,0.752186365,0.811939385,0.886205534
GNB,0,0.98070085,0.98070085,0.658773304,0.655754447,0.892027318,0,0.92749542,0.92749542,0.797853158,0.810322404,0.84772855,0,0.889692118,0.889692118,0.819531956,0.819923306,0.858896306
PNG,0,0.989893854,0.989893854,0.42174807,0.416106597,0.852174073,0,0.959674418,0.959674418,0.661733768,0.773721695,0.886982632,0,0.966180455,0.966180455,0.687666545,0.788461196,0.89796118
BOL,0,0.991257548,0.991257548,0.314520563,0.235909775,0.780330813,0,0.964810252,0.964810252,0.489655892,0.668352783,0.816504896,0,0.961523468,0.961523468,0.538707456,0.733786166,0.847752313
CUB,0,0.990247488,0.990247488,0.695099818,0.778470516,0.849474728,0,0.951594591,0.951594591,0.828116583,0.835925221,0.891159624,0,0.947988673,0.947988673,0.830725337,0.833671183,0.894402834
IRQ,0,0.841045499,0.841045499,0.000796681,0,0,0,0.930479765,0.930479765,0.159569011,0,0.437904489,0,0.899336329,0.899336329,0.152727729,0,0.418738934
MYS,0,0.991058111,0.991058111,0.509083648,0.562848449,0.844981551,0,0.971205652,0.971205652,0.764508482,0.841466486,0.897541595,0,0.970665412,0.970665412,0.798724384,0.824537127,0.89326253
SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,0,0.989990115,0.989990115,0.505568538,0.527953744,0.810358262,0,0.972571254,0.972571254,0.796418036,0.820022404,0.89178561,0.314249429,0.960974896,0.646725467,0.790408577,0.822326749,0.894195228
AGO,0,0.982738137,0.982738137,0.35369063,0.408760756,0.690999353,0,0.974577665,0.974577665,0.391714088,0.361889333,0.742126518,0,0.971215792,0.971215792,0.536521702,0.538455113,0.818669026
TCD,0,0.774071395,0.774071395,0.028530865,0.006233398,0.044369525,0,0.876394749,0.876394749,0.330802324,0.30421713,0.722704518,0,0.866765267,0.866765267,0.378203436,0.449721351,0.743656955
TTO,0,0.991108358,0.991108358,0.673543499,0.670918524,0.980452645,0.614351094,0.933328331,0.318977237,0.86431227,0.867437482,0.904691935,0.784050758,0.948161035,0.164110277,0.883225862,0.8854474,0.919348598
SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,0,0.911412537,0.911412537,0.03003839,0.006578984,0.039132365,0,0.958155155,0.958155155,0.336695646,0.327374533,0.739381933,0,0.919178488,0.919178488,0.38082026,0.407610575,0.750939561
ARM,0,0,0,0,0,0,0,0.385590822,0.385590822,0.008251035,0,0.040085237,0,0.474214297,0.474214297,0.011170718,0,0.040896561
ALB,0,0,0,0,0,0,0,0.910184026,0.910184026,0.062626715,0,0.18351759,0,0.91157987,0.91157987,0.074753795,0,0.213898097
