color_code,MIN_zika,MAX_zika,RANGE_zika,MEAN_zika,MEDIAN_zika,PCT90_zika,MIN_dengue2015,MAX_dengue2015,RANGE_dengue2015,MEAN_dengue2015,MEDIAN_dengue2015,PCT90_dengue2015,MIN_dengue2050,MAX_dengue2050,RANGE_dengue2050,MEAN_dengue2050,MEDIAN_dengue2050,PCT90_dengue2050
CAN,0,0,0,0,0,0,0,0.061814021,0.061814021,2.054736918e-06,0,0,0,0.194240963,0.194240963,1.8374968175e-05,0,0
ETH,0,0.980722666,0.980722666,0.113479497,0.009670754,0.541119808,0,0.934253514,0.934253514,0.453995604,0.503079534,0.777562022,0,0.910623596,0.910623596,0.510677026,0.59328854,0.809028557
COM,0,0.908951521,0.908951521,0.481669579,0.651554346,0.890057933,0,0.879330695,0.879330695,0.797661746,0.852500886,0.870496541,0,0.89594265,0.89594265,0.784206416,0.816407008,0.863502473
 ,0.012805838,0.056504391,0.043698553,0.021784008,0.017860673,0.030508152,0,0.539827704,0.539827704,0.00116092,0,0,0,0.510058137,0.510058137,0.001096899,0,0
GTM,0,0.988429189,0.988429189,0.509350063,0.57377705,0.891585362,0,0.917964697,0.917964697,0.620478178,0.799573511,0.87982682,0,0.923826137,0.923826137,0.636399365,0.793301498,0.887605415
KGZ,0,0,0,0,0,0,0,0.579588771,0.579588771,0.00935617,0,0.049395934,0,0.578452136,0.578452136,0.010827866,0,0.044047821
SUR,0.19396314,0.990824163,0.796861023,0.756387963,0.756469011,0.899375707,0.323298305,0.962430716,0.63913241,0.766016389,0.784922421,0.892490178,0.402648126,0.955924751,0.553276625,0.80494993,0.836522964,0.904549934
POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,0,0.990612388,0.990612388,0.199204271,0.058768936,0.677418542,0,0.976053536,0.976053536,0.737545169,0.808601916,0.865811533,0,0.954059698,0.954059698,0.715150348,0.776598181,0.845992015
SSD,0,0.96560663,0.96560663,0.211338947,0.068663009,0.580272943,0,0.859900653,0.859900653,0.620092365,0.624952018,0.704097223,0,0.84876559,0.84876559,0.570964313,0.570051475,0.685549513
BGR,0,0,0,0,0,0,0,0.161992088,0.161992088,0.014716458,0,0.049070176,0,0.271174177,0.271174177,0.023562308,0.029055745,0.052205102
BHR,0,0,0,0,0,0,0.87444824,0.976830542,0.102382302,0.913030905,0.902664572,0.946207833,0.745018529,0.945545771,0.200527243,0.875315473,0.882320329,0.939361114
SOM,0,0.857962966,0.857962966,0.027030469,0.008449536,0.038571618,0,0.958569169,0.958569169,0.491838537,0.517544866,0.818406928,0,0.956169621,0.956169621,0.528116646,0.53028585,0.836327157
BRB,0.260166556,0.989970684,0.729804128,0.762602717,0.812808096,0.8876993,0,0.8737849,0.8737849,0.74108335,0.828651339,0.869103467,0,0.882792901,0.882792901,0.765708917,0.860598756,0.874920099
SYC,0,0.627350986,0.627350986,0.395315727,0.466292128,0.609188187,0,0.873501301,0.873501301,0.610967055,0.660347164,0.759702468,0,0.896503297,0.896503297,0.589859978,0.630967187,0.747668152
SEN,0,0.958405375,0.958405375,0.073336778,0.01254122,0.287671956,0,0.950951874,0.950951874,0.603923496,0.617192715,0.789299417,0,0.92623986,0.92623986,0.626318149,0.632845179,0.771772462
GRC,0,0.259599805,0.259599805,0.000392615,0,0,0,0.916614652,0.916614652,0.132175021,0.077356927,0.311722457,0,0.920733482,0.920733482,0.146841211,0.081117207,0.375479651
NGA,0,0.990931749,0.990931749,0.362085162,0.324105501,0.830804753,0,0.967012286,0.967012286,0.798055724,0.817797035,0.872832692,0.22918739,0.966258026,0.737070636,0.795661272,0.807867351,0.864193412
AUS,0,0.990940273,0.990940273,0.023615141,0,0.015429267,0,0.942624092,0.942624092,0.243474946,0.145391814,0.653821111,0,0.926408286,0.926408286,0.263420696,0.174755367,0.664452412
XXY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0.937415004,0.937415004,0.059533892,0.029737523,0.155657586,0.602383673,0.941548645,0.339164972,0.723086644,0.725107402,0.832681382,0.555243882,0.915080156,0.359836274,0.719849195,0.712847598,0.815210568
TLS,0,0.973879814,0.973879814,0.679044017,0.822882742,0.901880741,0,0.956046283,0.956046283,0.798244486,0.865886867,0.900250769,0,0.926196974,0.926196974,0.790218525,0.847786217,0.893196976
HND,0,0.990758479,0.990758479,0.584912971,0.686347008,0.858317834,0,0.95204705,0.95204705,0.66696795,0.72423777,0.879408818,0,0.937551365,0.937551365,0.679769736,0.737557133,0.891373367
BWA,0,0.674336731,0.674336731,0.00813527,0,0.01861166,0,0.76122576,0.76122576,0.259120771,0.18913421,0.530660319,0,0.801448641,0.801448641,0.45383407,0.488326466,0.665940758
BFA,0.006228659,0.971972525,0.965743866,0.063836868,0.013875586,0.196947289,0.208938405,0.949797988,0.740859583,0.63250987,0.663337469,0.782854724,0.308272551,0.955803891,0.64753134,0.644843361,0.655425988,0.756317346
UKR,0,0,0,0,0,0,0,0.194172889,0.194172889,0.004271928,0,0,0,0.208866176,0.208866176,0.012849499,0,0.049625463
SAU,0,0.720357418,0.720357418,0.002967646,0,0.007797714,0,0.932826638,0.932826638,0.042467261,0,0,0,0.951669458,0.951669458,0.076580644,0,0.428675008
CAF,0.016225273,0.984834135,0.968608862,0.618127046,0.61918062,0.835747123,0.244388953,0.935654581,0.691265628,0.66294686,0.684579015,0.769972467,0.402402279,0.900022007,0.497619728,0.73139049,0.732540652,0.829763093
BRA,0,0.991473913,0.991473913,0.563936189,0.650798053,0.866822362,0,0.977503955,0.977503955,0.683255815,0.728264332,0.867388391,0,0.979900165,0.979900165,0.724476439,0.767862262,0.87426875
HTI,0,0.990849733,0.990849733,0.693915086,0.802686512,0.889413655,0,0.971317947,0.971317947,0.760935219,0.804012388,0.877971703,0,0.960843013,0.960843013,0.753428539,0.793343133,0.868471239
DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV,0,0.990987837,0.990987837,0.597614519,0.617723703,0.783582771,0,0.975183368,0.975183368,0.837100127,0.845774442,0.895207012,0.562633811,0.970111489,0.407477678,0.850775483,0.857430352,0.901819244
VEN,0,0.990626812,0.990626812,0.557744951,0.563503325,0.840425539,0,0.969880223,0.969880223,0.739835093,0.817851603,0.890515327,0,0.968801231,0.968801231,0.751350269,0.801714211,0.89124705
BTN,0,0.922169328,0.922169328,0.047524398,0,0.20914816,0,0.87286675,0.87286675,0.108404776,0,0.740149766,0,0.868006059,0.868006059,0.132207831,0,0.732245286
SLE,0,0.986702383,0.986702383,0.716182873,0.750284016,0.889828497,0,0.942681313,0.942681313,0.832514397,0.837170303,0.878988761,0,0.945869365,0.945869365,0.827731709,0.833518774,0.871921667
TON,0,0.729850054,0.729850054,0.526801839,0.580027461,0.691410899,0.785482526,0.884657502,0.099174976,0.828178901,0.82541284,0.864214271,0.699255294,0.909028832,0.209773538,0.788970953,0.765260927,0.896196775
DMA,0,0.889500737,0.889500737,0.505857701,0.551563203,0.704068398,0.550079823,0.889388561,0.339308739,0.76743681,0.79239887,0.842713177,0.530146596,0.873993345,0.343846749,0.746937823,0.768506108,0.845531862
MNE,0,0,0,0,0,0,0,0.845789731,0.845789731,0.066429117,0,0.392802954,0,0.842466179,0.842466179,0.075141362,0,0.373054616
VNM,0,0.99100399,0.99100399,0.441783015,0.552101731,0.88670519,0,0.966719627,0.966719627,0.767942211,0.843443871,0.901180482,0,0.957359678,0.957359678,0.757966263,0.82711971,0.892329813
HRV,0,0,0,0,0,0,0,0.453312188,0.453312188,0.014811615,0,0.057479635,0,0.564288548,0.564288548,0.037185027,0,0.098446421
BIH,0,0,0,0,0,0,0,0.879987061,0.879987061,0.008537757,0,0,0,0.865289405,0.865289405,0.020067376,0,0.07399525
JOR,0,0.755841553,0.755841553,0.00091284,0,0,0,0.727246702,0.727246702,0.025442795,0,0.106482022,0,0.630570132,0.630570132,0.022154673,0,0.080753385
QAT,0,0,0,0,0,0,0,0.968307018,0.968307018,0.495581277,0.658119768,0.875776321,0,0.950750047,0.950750047,0.484239059,0.64908844,0.872886295
VCT,0.525363028,0.899197578,0.37383455,0.731905814,0.712169379,0.885334641,0.735293448,0.870249271,0.134955823,0.812944744,0.817950904,0.862723917,0.796415421,0.898762832,0.102347411,0.839761852,0.836641378,0.875633571
SWZ,0,0.495174259,0.495174259,0.072313267,0,0.252017409,0,0.490330786,0.490330786,0.213828308,0.257597089,0.417469874,0,0.769783793,0.769783793,0.232676863,0.275618063,0.430627572
PAK,0,0.965055048,0.965055048,0.008521458,0,0.007889508,0,0.969978571,0.969978571,0.374215775,0.436247051,0.784627545,0,0.9549662,0.9549662,0.374568713,0.446367061,0.760142265
ZAF,0,0.984570682,0.984570682,0.005181841,0,0,0,0.865403175,0.865403175,0.060924958,0,0.217960867,0,0.838804544,0.838804544,0.087922369,0,0.306175472
PRK,0,0,0,0,0,0,0,0.534816206,0.534816206,0.012849839,0,0,0,0.727823789,0.727823789,0.025636196,0,0.111723401
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBN,0,0.839802682,0.839802682,0.003224209,0,0,0,0.879833877,0.879833877,0.210193063,0.096909635,0.633130789,0,0.852919642,0.852919642,0.203494698,0.113245498,0.532872152
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,0,0,0,0,0,0,0,0.487000912,0.487000912,0.014850918,0,0.045391385,0,0.412126681,0.412126681,0.021523575,0.02586429,0.046036949
PER,0,0.990284145,0.990284145,0.331330702,0.359225586,0.765194517,0,0.975446761,0.975446761,0.477119959,0.709914178,0.872052032,0,0.968923881,0.968923881,0.498444585,0.756841939,0.881360681
BEN,0,0.982803702,0.982803702,0.419596995,0.453919575,0.714123261,0.301940262,0.96448344,0.662543178,0.795008937,0.817426741,0.886825228,0.41868385,0.968931608,0.550247758,0.795124701,0.821638739,0.885506468
